Point_ID;Type;Shape;Circular_D;Non_circul;Flow_prese;Condition;Comments;Date_Visit;Time;Max_PDOP;Max_HDOP;Corr_Type;Rcvr_Type;GPS_Date;GPS_Time;Update_Sta;Feat_Name;Datafile;Unfilt_Pos;Filt_Pos;Data_Dicti;GPS_Week;GPS_Second;GPS_Height;Vert_Prec;Horz_Prec;Std_Dev;Northing;Easting;Point_ID
507121;CMP;circular;12;;no;Good;;Tue Jul 12 00:00:00 AMT 2005;10:56:30am;5.2;2.0;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;10:56:52am;New;Driveway;050712TR2819.cor;2;2;MS4;1331;226.625.000;1.131.323;3.1;1.3;0.897088;557.904.898;2.212.577.192;401
507122;CMP;circular;12;;no;Good;;Tue Jul 12 00:00:00 AMT 2005;10:57:34am;4.9;2.0;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;10:57:37am;New;Driveway;050712TR2819.cor;1;1;MS4;1331;226.670.000;1.125.142;2.8;1.3;null;557.997.831;2.212.576.868;402
507123;CMP;circular;12;;no;Good;;Tue Jul 12 00:00:00 AMT 2005;10:59:03am;5.4;4.4;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;10:59:12am;New;Driveway;050712TR2819.cor;1;1;MS4;1331;226.765.000;1.127.570;2.2;3.5;null;558.184.757;2.212.571.349;403
507125;CMP;circular;12;;no;Good;;Tue Jul 12 00:00:00 AMT 2005;11:02:43am;3.4;1.5;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;11:03:12am;New;Driveway;050712TR2819.cor;1;1;MS4;1331;227.005.000;1.125.364;3.2;1.6;null;558.703.723;2.212.562.547;405
5071210;CMP;circular;15;;no;Good;;Tue Jul 12 00:00:00 AMT 2005;11:15:20am;3.7;2.2;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;11:14:52am;New;Driveway;050712TR2819.cor;1;1;MS4;1331;227.705.000;1.118.605;1.8;2.1;null;558.945.763;2.212.739.979;410
5071216;CMP;circular;12;;no;Good;;Tue Jul 12 00:00:00 AMT 2005;12:13:23pm;4.4;1.8;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;12:13:57pm;New;Driveway;050712TR2819.cor;1;1;MS4;1331;231.250.000;1.117.390;3.1;1.2;null;559.024.234;2.212.856.927;416
5071217;CMP;circular;12;;no;Good;;Tue Jul 12 00:00:00 AMT 2005;12:16:46pm;4.4;1.8;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;12:17:12pm;New;Driveway;050712TR2819.cor;1;1;MS4;1331;231.445.000;1.125.714;3.2;1.3;null;559.342.534;2.213.340.161;417
5071219;CMP;circular;12;;no;Plugged;;Tue Jul 12 00:00:00 AMT 2005;12:22:55pm;4.4;1.8;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;12:22:22pm;New;Driveway;050712TR2819.cor;1;1;MS4;1331;231.755.000;1.110.786;2.5;1.1;null;559.578.776;2.213.560.247;419
5071224;CMP;circular;12;;no;Good;;Tue Jul 12 00:00:00 AMT 2005;12:37:17pm;4.1;1.7;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;12:38:32pm;New;Driveway;050712TR2819.cor;1;1;MS4;1331;232.725.000;1.077.924;2.8;1.4;null;560.582.575;2.213.759.022;424
5071225;CMP;circular;12;;no;Good;;Tue Jul 12 00:00:00 AMT 2005;12:39:48pm;4.0;1.7;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;12:39:52pm;New;Driveway;050712TR2819.cor;1;1;MS4;1331;232.805.000;1.082.990;2.0;1.0;null;560.678.501;2.213.716.657;425
5071229;CMP;circular;12;;no;Good;;Tue Jul 12 00:00:00 AMT 2005;12:49:05pm;3.7;1.7;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;12:49:07pm;New;Driveway;050712TR2819.cor;1;1;MS4;1331;233.360.000;1.096.860;2.4;1.2;null;560.126.094;2.213.720.301;429
5071231;CMP;circular;12;;no;Plugged;;Tue Jul 12 00:00:00 AMT 2005;12:53:58pm;3.0;1.6;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;12:54:02pm;New;Driveway;050712TR2819.cor;1;1;MS4;1331;233.655.000;1.105.113;1.8;1.1;null;559.952.331;2.213.689.001;431
5071232;CMP;circular;12;;no;Plugged;;Tue Jul 12 00:00:00 AMT 2005;12:55:47pm;3.5;1.7;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;12:55:47pm;New;Driveway;050712TR2819.cor;2;2;MS4;1331;233.760.000;1.101.939;2.1;1.1;1.223.112;559.870.352;2.213.661.918;432
5071236;CMP;circular;12;;no;Plugged;;Tue Jul 12 00:00:00 AMT 2005;01:08:40pm;3.3;1.6;Postprocessed Code;GeoXT;Tue Jul 12 00:00:00 AMT 2005;01:08:42pm;New;Driveway;050712TR2819.cor;1;1;MS4;1331;234.535.000;1.125.517;1.8;1.2;null;559.195.031;2.213.046.199;436